x	y
13904	24144
13904	24336
13920	24832
13904	24512
13920	24832
13920	24832
14880	24512
14976	24336
15168	24304
16624	24144
18976	24144
19616	24144
19616	24032
19616	23392
19376	22784
19376	22784
19328	22784
18912	23328
18912	24304
18912	24720
18304	24720
18304	24784
18256	25216
18256	25696
18256	27008
18048	27376
16800	27760
15648	27760
15648	27760
15056	26304
14960	26080
14752	25920
14688	25648
14672	25632
14672	25008
14496	24832
14352	24576
14288	24576
13344	24704
12720	24704
12240	24496
12240	23648
12048	23344
11712	23344
12224	23232
11648	23232
11648	23360
11712	23360
11904	23280
11856	23408
11904	23408
11904	23280
11904	23424
11952	23504
11952	23504
11600	23504
11712	23504
11696	23200
11696	23200
11696	23408
11712	23408
11904	23504
11920	23504
11936	23536
11936	23504
11920	23536
11648	23536
11648	23536
11648	23392
11888	23360
11888	23328
11936	23072
12240	22864
12352	22816
12368	22816
12432	22832
12368	22832
12416	22832
12816	22832
12816	22848
12816	22592
12816	22592
12816	22640
12384	22640
12384	22672
12448	22848
12448	22848
12448	22848
12448	22816
12096	22336
12096	22336
12096	22336
11968	22160
11968	22160
12224	22720
12224	22800
12272	22864
12336	23024
12336	23024
12336	22880
12320	22880
12224	22864
12224	22864
12304	22864
12304	22864
12224	22848
12304	22864
12304	22688
11936	22688
12064	22896
12304	22896
12272	23040
12272	23040
12272	23040
12288	22992
12288	22992
12368	22768
12784	22624
12784	22624
12784	22624
12240	22704
12160	22736
12160	22816
12160	22816
12160	22816
12176	22832
12176	22832
12272	22816
12272	22688
12272	22688
12320	22688
12368	22768
12368	22768
12384	22800
12368	22768
12336	22768
12336	22832
12432	22976
12480	23120
12656	23408
12816	24448
13040	24896
14624	25472
15088	26832
15184	28080
15536	30416
15680	31568
15536	32336
15536	32336
14800	32400
14752	32336
14752	32320
14752	32144
14912	32144
14912	32144
14992	32192
14992	32384
14912	32384
14832	32192
15440	32192
15968	32560
14976	32112
15120	31632
15696	31328
15520	31040
15472	30960
15520	30960
15520	30960
15520	31968
15632	32928
15728	34944
15728	35152
17872	35152
18496	35152
18656	34896
18656	34368
18832	32512
18832	32352
17696	32304
17664	32304
17664	32336
17664	32336
17664	32288
17696	31936
17696	31936
17648	31920
17312	31712
16128	31056
15568	31040
15216	30272
15056	29456
14752	27856
14752	26224
14752	24720
14784	23584
15136	23584
15328	23584
15456	23584
15472	23584
15472	23632
15472	23632
15440	23584
15328	23584
15328	23600
15312	23568
15280	23600
15280	23888
15280	23888
15280	23888
15264	23888
15344	23888
15344	24064
15184	24320
13872	24320
12288	24320
12288	24176
12160	23600
12160	22816
12304	22688
12304	22656
12240	22640
12240	22640
12208	22608
12208	22608
12240	22640
12208	22608
12208	22608
12416	22848
12112	22608
12000	22320
12112	22320
12112	22352
12096	22352
12080	22352
12080	22352
12032	22016
12032	22016
12032	22016
12032	22416
12112	22432
12112	22432
12112	22416
11968	22224
11968	22224
11904	22032
11904	22032
12128	22384
12256	22592
12128	22384
12128	22384
12000	22160
12000	22160
11904	21808
11872	22160
11872	22432
11984	22512
11984	22512
12000	22576
12240	22592
12192	22576
12288	22720
12464	22720
12528	22752
12528	22976
12560	23520
12624	23600
12624	24256
13616	24256
13648	24528
13744	24256
13744	24128
14256	23728
14256	23456
14304	22576
14304	22576
14416	22576
14416	23360
14416	24304
13440	24304
13424	24304
13408	24304
13408	24240
13408	24176
13408	24080
13408	24080
13408	24080
13392	24128
13344	24128
13344	24128
13392	24160
13424	24176
13424	24160
13424	24160
13360	24160
13360	24160
13360	24160
13152	24384
13232	24384
13232	24384
13104	24032
13104	24032
13232	24032
13536	24592
13760	24912
13760	24912
13792	24944
13760	24912
13712	24912
13696	24896
13680	24832
13680	24752
13600	24752
13600	24672
13488	24576
13488	24256
13360	24112
13120	24016
13120	24016
13216	24112
13216	24256
13376	24464
13376	24592
13376	24464
13248	24464
13200	24224
13200	24224
13248	24224
13280	24096
13312	24224
13392	24240
13328	24224
13312	24096
13312	24080
13328	24080
13328	24080
13712	24320
13792	24512
13792	24512
13792	24512
13696	24512
13584	24512
13536	24512
13440	24512
13440	24512
13520	24480
13424	24336
13520	24320
13520	24320
13472	24320
13472	23856
13504	24320
13504	24512
13696	24512
13696	24464
13696	24464
13696	24400
13696	24400
13616	24240
13616	24256
13808	24352
13808	24352
13808	24352
13808	24656
13808	24864
13808	24912
13808	24944
13808	24944
13808	24944
13808	25120
13744	25120
13216	25120
12816	24352
12816	24272
12816	24272
12928	24128
13264	24128
13424	24416
13424	24416
13424	24448
13424	24800
13872	24816
13424	24800
13424	24800
13376	24608
13328	24576
13328	24560
13328	24368
13408	24400
13520	24400
13520	24400
13520	24400
13296	24400
13184	24208
12384	23328
12304	22704
12304	22688
12368	22688
12368	22624
12368	22624
12576	22720
12576	22912
12576	22976
12656	22976
12656	22976
12368	22976
12032	22864
12032	22864
12032	22864
12032	22976
12096	22976
12144	23200
12144	23056
12144	23072
12144	23072
12144	23072
12112	23072
12112	23104
12112	23104
12112	23136
12608	23136
12976	23936
12976	24048
13664	24384
13664	24512
13664	24512
13424	24512
13376	24512
13376	24496
13424	24176
13472	24176
13552	24176
13696	24192
13776	24192
13776	24192
14080	24176
14080	24176
14080	24176
13856	24256
13824	24256
13824	24256
13824	24160
13824	24112
13792	24080
13776	24080
13824	24080
13824	24080
13888	24128
14064	24208
14064	24208
13888	24208
13776	24112
13776	24064
13776	23984
13648	23984
13648	23984
13584	23984
13552	23728
13552	23712
13504	23712
13552	23728
13552	23776
13456	23776
13456	23808
13504	23856
13456	23808
13456	23840
13376	23840
13504	23840
13552	23840
13568	23872
13696	23936
13904	24032
13904	24032
13968	24032
13968	24064
14032	24512
14032	24512
14032	24512
13936	24480
13936	24416
13936	24208
13952	24416
13952	24128
13952	24416
13952	24176
13840	24176
13840	24176
13984	24272
13984	24256
13904	24272
13904	24272
13888	24272
13888	24256
13872	24272
13872	24304
13904	24320
14032	24400
14032	24512
14096	24512
14032	24400
14032	24368
13984	24352
13856	24240
13680	24192
13680	24128
13648	24096
13680	24128
13648	24096
13568	24096
13568	24064
13408	23664
13408	23616
13360	23664
13360	23680
13360	23680
13360	23680
13392	23696
13408	23696
13408	23712
13456	24016
13456	23904
13536	24016
13536	23904
13600	23904
13600	23904
13616	24096
13616	23680
13648	23680
13744	23872
13616	23680
13744	23680
13840	23872
14000	24112
14000	24336
14000	24336
14016	24112
14000	23728
13936	23728
13920	23728
13936	23968
13872	23968
13936	24016
13872	23968
13856	24080
13776	24176
13696	24176
13664	24112
13696	24112
13696	24112
13696	24032
13904	24032
13904	24160
13904	24304
13904	24304
13904	24304
13728	24016
13728	23808
13728	23728
13728	23808
13824	23984
13824	23984
13808	23984
13728	23984
13808	23984
13728	23984
13728	23952
13904	23952
13904	24128
13920	23952
13920	23952
13904	23952
13824	23952
13824	23936
13824	23936
13824	23936
13824	24144
13760	24176
13824	24176
13696	24080
13696	24080
13728	24080
13728	24080
13728	24112
13728	24112
13712	24112
13712	24112
13712	24064
13712	24064
13744	24192
13744	24416
13584	24416
13584	24544
13072	24544
13072	24304
13072	24304
13072	24304
13120	24176
13120	23888
13120	23792
13120	23792
13168	23792
13312	23792
13328	24112
13328	24112
13312	24112
12992	24112
12896	23632
12704	23504
12704	23472
12704	23472
12960	23632
13520	24160
13520	24192
13552	24192
13520	24192
13520	24016
13456	24016
13280	23792
12928	23600
12800	23600
12800	23616
12800	23600
12800	23600
12816	23616
12880	23616
13088	23616
13088	23616
13088	23616
12736	23504
12736	23504
12784	23664
12784	23664
12816	23664
12816	23664
12784	23616
12832	23616
12832	23696
12832	23792
12816	23792
12832	23792
12816	23616
12784	23584
12784	23584
12944	23616
12944	23648
12944	23648
12960	23824
12960	23824
12992	23824
13008	23776
13136	23824
13152	24064
13536	24112
13584	24224
13584	24224
13584	24112
13312	24048
13248	23904
13248	23824
13216	23760
13216	23760
13216	23680
13216	23536
13136	23504
13136	23504
13136	23504
13088	23600
13056	23600
13088	23856
13088	24288
12896	24320
12896	24320
13024	24384
12896	24384
12896	24384
13024	24384
13024	24352
13360	24352
13488	24272
14064	24064
14544	24064
14672	24112
14720	24112
14720	24112
14720	24144
14720	24144
